date,symbol,kind,value,fetched_at
2010-02-01,IEF,dividend,0.300000,2026-09-05T01:17:07Z
2010-02-01,TIP,dividend,0.208000,2026-09-05T01:17:07Z
2010-02-01,TLT,dividend,0.325000,2026-09-05T01:17:07Z
2010-03-01,IEF,dividend,0.244000,2026-09-05T01:17:07Z
2010-03-01,TIP,dividend,0.004000,2026-09-05T01:17:07Z
2010-03-01,TLT,dividend,0.290000,2026-09-05T01:17:07Z
2010-03-19,SPY,dividend,0.480000,2026-09-05T01:17:07Z
2010-03-23,VEA,dividend,0.011000,2026-09-05T01:17:07Z
2010-03-24,IWM,dividend,0.172000,2026-09-05T01:17:07Z
2010-03-25,VNQ,dividend,0.371000,2026-09-05T01:17:07Z
2010-04-01,IEF,dividend,0.255000,2026-09-05T01:17:07Z
2010-04-01,TIP,dividend,0.442000,2026-09-05T01:17:07Z
2010-04-01,TLT,dividend,0.332000,2026-09-05T01:17:07Z
2010-05-03,IEF,dividend,0.273000,2026-09-05T01:17:07Z
2010-05-03,TIP,dividend,0.163000,2026-09-05T01:17:07Z
2010-05-03,TLT,dividend,0.320000,2026-09-05T01:17:07Z
2010-06-01,IEF,dividend,0.260000,2026-09-05T01:17:07Z
2010-06-01,TIP,dividend,0.541000,2026-09-05T01:17:07Z
2010-06-01,TLT,dividend,0.326000,2026-09-05T01:17:07Z
2010-06-18,SPY,dividend,0.531000,2026-09-05T01:17:07Z
2010-06-24,VNQ,dividend,0.463000,2026-09-05T01:17:07Z
2010-07-01,IEF,dividend,0.248000,2026-09-05T01:17:07Z
2010-07-01,TIP,dividend,0.281000,2026-09-05T01:17:07Z
2010-07-01,TLT,dividend,0.310000,2026-09-05T01:17:07Z
2010-07-02,IWM,dividend,0.199000,2026-09-05T01:17:07Z
2010-08-02,IEF,dividend,0.253000,2026-09-05T01:17:07Z
2010-08-02,TIP,dividend,0.192000,2026-09-05T01:17:07Z
2010-08-02,TLT,dividend,0.324000,2026-09-05T01:17:07Z
2010-09-01,IEF,dividend,0.247000,2026-09-05T01:17:07Z
2010-09-01,TIP,dividend,0.030000,2026-09-05T01:17:07Z
2010-09-01,TLT,dividend,0.322000,2026-09-05T01:17:07Z
2010-09-17,SPY,dividend,0.602000,2026-09-05T01:17:07Z
2010-09-23,IWM,dividend,0.165000,2026-09-05T01:17:07Z
2010-09-24,VNQ,dividend,0.462000,2026-09-05T01:17:07Z
2010-10-01,IEF,dividend,0.233000,2026-09-05T01:17:07Z
2010-10-01,TIP,dividend,0.135000,2026-09-05T01:17:07Z
2010-10-01,TLT,dividend,0.392000,2026-09-05T01:17:07Z
2010-11-01,IEF,dividend,0.235000,2026-09-05T01:17:07Z
2010-11-01,TIP,dividend,0.255000,2026-09-05T01:17:07Z
2010-11-01,TLT,dividend,0.319000,2026-09-05T01:17:07Z
2010-12-01,IEF,dividend,0.239000,2026-09-05T01:17:07Z
2010-12-01,TIP,dividend,0.179000,2026-09-05T01:17:07Z
2010-12-01,TLT,dividend,0.340000,2026-09-05T01:17:07Z
2010-12-17,SPY,dividend,0.653000,2026-09-05T01:17:07Z
2010-12-22,IWM,dividend,0.357000,2026-09-05T01:17:07Z
2010-12-22,VEA,dividend,0.886000,2026-09-05T01:17:07Z
2010-12-22,VWO,dividend,0.815000,2026-09-05T01:17:07Z
2010-12-27,VNQ,dividend,0.595000,2026-09-05T01:17:07Z
2010-12-28,IEF,dividend,0.248000,2026-09-05T01:17:07Z
2010-12-28,TIP,dividend,0.263000,2026-09-05T01:17:07Z
2010-12-28,TLT,dividend,0.320000,2026-09-05T01:17:07Z
