date,symbol,kind,value,fetched_at
2007-02-01,IEF,dividend,0.311000,2026-09-05T01:17:07Z
2007-02-01,TLT,dividend,0.355000,2026-09-05T01:17:07Z
2007-03-01,IEF,dividend,0.275000,2026-09-05T01:17:07Z
2007-03-01,TIP,dividend,0.278000,2026-09-05T01:17:07Z
2007-03-01,TLT,dividend,0.343000,2026-09-05T01:17:07Z
2007-03-16,SPY,dividend,0.551000,2026-09-05T01:17:07Z
2007-03-23,IWM,dividend,0.154000,2026-09-05T01:17:07Z
2007-03-26,VNQ,dividend,0.467000,2026-09-05T01:17:07Z
2007-04-02,IEF,dividend,0.322000,2026-09-05T01:17:07Z
2007-04-02,TIP,dividend,0.369000,2026-09-05T01:17:07Z
2007-04-02,TLT,dividend,0.326000,2026-09-05T01:17:07Z
2007-05-01,IEF,dividend,0.314000,2026-09-05T01:17:07Z
2007-05-01,TIP,dividend,0.386000,2026-09-05T01:17:07Z
2007-05-01,TLT,dividend,0.324000,2026-09-05T01:17:07Z
2007-06-01,IEF,dividend,0.329000,2026-09-05T01:17:07Z
2007-06-01,TIP,dividend,0.447000,2026-09-05T01:17:07Z
2007-06-01,TLT,dividend,0.338000,2026-09-05T01:17:07Z
2007-06-15,SPY,dividend,0.656000,2026-09-05T01:17:07Z
2007-06-25,VNQ,dividend,0.892000,2026-09-05T01:17:07Z
2007-06-28,IWM,dividend,0.159000,2026-09-05T01:17:07Z
2007-07-02,BIL,dividend,0.406000,2026-09-05T01:17:07Z
2007-07-02,IEF,dividend,0.313000,2026-09-05T01:17:07Z
2007-07-02,TIP,dividend,0.437000,2026-09-05T01:17:07Z
2007-07-02,TLT,dividend,0.326000,2026-09-05T01:17:07Z
2007-08-01,BIL,dividend,0.370000,2026-09-05T01:17:07Z
2007-08-01,IEF,dividend,0.322000,2026-09-05T01:17:07Z
2007-08-01,TIP,dividend,0.445000,2026-09-05T01:17:07Z
2007-08-01,TLT,dividend,0.341000,2026-09-05T01:17:07Z
2007-09-04,BIL,dividend,0.354000,2026-09-05T01:17:07Z
2007-09-04,IEF,dividend,0.334000,2026-09-05T01:17:07Z
2007-09-04,TIP,dividend,0.440000,2026-09-05T01:17:07Z
2007-09-04,TLT,dividend,0.362000,2026-09-05T01:17:07Z
2007-09-21,SPY,dividend,0.719000,2026-09-05T01:17:07Z
2007-09-24,VNQ,dividend,0.738000,2026-09-05T01:17:07Z
2007-09-25,IWM,dividend,0.195000,2026-09-05T01:17:07Z
2007-10-01,BIL,dividend,0.320000,2026-09-05T01:17:07Z
2007-10-01,IEF,dividend,0.310000,2026-09-05T01:17:07Z
2007-10-01,TIP,dividend,0.415000,2026-09-05T01:17:07Z
2007-10-01,TLT,dividend,0.345000,2026-09-05T01:17:07Z
2007-11-01,BIL,dividend,0.302000,2026-09-05T01:17:07Z
2007-11-01,IEF,dividend,0.297000,2026-09-05T01:17:07Z
2007-11-01,TIP,dividend,0.320000,2026-09-05T01:17:07Z
2007-11-01,TLT,dividend,0.394000,2026-09-05T01:17:07Z
2007-12-03,BIL,dividend,0.278000,2026-09-05T01:17:07Z
2007-12-03,IEF,dividend,0.295000,2026-09-05T01:17:07Z
2007-12-03,TIP,dividend,0.425000,2026-09-05T01:17:07Z
2007-12-03,TLT,dividend,0.376000,2026-09-05T01:17:07Z
2007-12-17,DBC,dividend,0.760000,2026-09-05T01:17:07Z
2007-12-20,VNQ,dividend,1.014000,2026-09-05T01:17:07Z
2007-12-21,SPY,dividend,0.775000,2026-09-05T01:17:07Z
2007-12-24,VEA,dividend,1.055000,2026-09-05T01:17:07Z
2007-12-24,VWO,dividend,0.984500,2026-09-05T01:17:07Z
2007-12-27,IEF,dividend,0.313000,2026-09-05T01:17:07Z
2007-12-27,IWM,dividend,0.267000,2026-09-05T01:17:07Z
2007-12-27,TIP,dividend,0.531000,2026-09-05T01:17:07Z
2007-12-27,TLT,dividend,0.362000,2026-09-05T01:17:07Z
2007-12-28,BIL,dividend,0.258000,2026-09-05T01:17:07Z
