date,symbol,kind,value,fetched_at
2022-02-01,IEF,dividend,0.108000,2026-09-05T01:17:07Z
2022-02-01,TIP,dividend,0.439000,2026-09-05T01:17:07Z
2022-02-01,TLT,dividend,0.198000,2026-09-05T01:17:07Z
2022-03-01,BIL,dividend,0.022000,2026-09-05T01:17:07Z
2022-03-01,IEF,dividend,0.101000,2026-09-05T01:17:07Z
2022-03-01,TIP,dividend,0.229000,2026-09-05T01:17:07Z
2022-03-01,TLT,dividend,0.185000,2026-09-05T01:17:07Z
2022-03-18,SPY,dividend,1.366000,2026-09-05T01:17:07Z
2022-03-21,VEA,dividend,0.083000,2026-09-05T01:17:07Z
2022-03-21,VWO,dividend,0.134000,2026-09-05T01:17:07Z
2022-03-23,VNQ,dividend,0.577000,2026-09-05T01:17:07Z
2022-03-24,IWM,dividend,0.400000,2026-09-05T01:17:07Z
2022-04-01,IEF,dividend,0.121000,2026-09-05T01:17:07Z
2022-04-01,TIP,dividend,0.798000,2026-09-05T01:17:07Z
2022-04-01,TLT,dividend,0.202000,2026-09-05T01:17:07Z
2022-05-02,IEF,dividend,0.125000,2026-09-05T01:17:07Z
2022-05-02,TIP,dividend,0.938000,2026-09-05T01:17:07Z
2022-05-02,TLT,dividend,0.203000,2026-09-05T01:17:07Z
2022-06-01,BIL,dividend,0.031000,2026-09-05T01:17:07Z
2022-06-01,IEF,dividend,0.129000,2026-09-05T01:17:07Z
2022-06-01,TIP,dividend,1.367000,2026-09-05T01:17:07Z
2022-06-01,TLT,dividend,0.207000,2026-09-05T01:17:07Z
2022-06-09,IWM,dividend,0.494000,2026-09-05T01:17:07Z
2022-06-17,SPY,dividend,1.577000,2026-09-05T01:17:07Z
2022-06-21,VEA,dividend,0.530000,2026-09-05T01:17:07Z
2022-06-21,VWO,dividend,0.306000,2026-09-05T01:17:07Z
2022-06-23,VNQ,dividend,0.570000,2026-09-05T01:17:07Z
2022-07-01,BIL,dividend,0.053000,2026-09-05T01:17:07Z
2022-07-01,IEF,dividend,0.155000,2026-09-05T01:17:07Z
2022-07-01,TIP,dividend,0.565000,2026-09-05T01:17:07Z
2022-07-01,TLT,dividend,0.227000,2026-09-05T01:17:07Z
2022-08-01,BIL,dividend,0.097000,2026-09-05T01:17:07Z
2022-08-01,IEF,dividend,0.184000,2026-09-05T01:17:07Z
2022-08-01,TIP,dividend,1.154000,2026-09-05T01:17:07Z
2022-08-01,TLT,dividend,0.213000,2026-09-05T01:17:07Z
2022-09-01,BIL,dividend,0.139000,2026-09-05T01:17:07Z
2022-09-01,IEF,dividend,0.179000,2026-09-05T01:17:07Z
2022-09-01,TIP,dividend,1.438000,2026-09-05T01:17:07Z
2022-09-01,TLT,dividend,0.236000,2026-09-05T01:17:07Z
2022-09-16,SPY,dividend,1.596000,2026-09-05T01:17:07Z
2022-09-19,VEA,dividend,0.120000,2026-09-05T01:17:07Z
2022-09-19,VWO,dividend,0.529000,2026-09-05T01:17:07Z
2022-09-23,VNQ,dividend,0.916000,2026-09-05T01:17:07Z
2022-09-26,IWM,dividend,0.861000,2026-09-05T01:17:07Z
2022-10-03,BIL,dividend,0.155000,2026-09-05T01:17:07Z
2022-10-03,IEF,dividend,0.187000,2026-09-05T01:17:07Z
2022-10-03,TLT,dividend,0.244000,2026-09-05T01:17:07Z
2022-11-01,BIL,dividend,0.208000,2026-09-05T01:17:07Z
2022-11-01,IEF,dividend,0.203000,2026-09-05T01:17:07Z
2022-11-01,TLT,dividend,0.236000,2026-09-05T01:17:07Z
2022-12-01,BIL,dividend,0.260000,2026-09-05T01:17:07Z
2022-12-01,IEF,dividend,0.194000,2026-09-05T01:17:07Z
2022-12-01,TIP,dividend,0.131000,2026-09-05T01:17:07Z
2022-12-01,TLT,dividend,0.244000,2026-09-05T01:17:07Z
2022-12-13,IWM,dividend,0.830000,2026-09-05T01:17:07Z
2022-12-15,IEF,dividend,0.192000,2026-09-05T01:17:07Z
2022-12-15,TIP,dividend,0.349000,2026-09-05T01:17:07Z
2022-12-15,TLT,dividend,0.261000,2026-09-05T01:17:07Z
2022-12-16,SPY,dividend,1.781000,2026-09-05T01:17:07Z
2022-12-19,BIL,dividend,0.271000,2026-09-05T01:17:07Z
2022-12-19,DBC,dividend,0.145000,2026-09-05T01:17:07Z
2022-12-19,VEA,dividend,0.490000,2026-09-05T01:17:07Z
2022-12-19,VWO,dividend,0.635000,2026-09-05T01:17:07Z
2022-12-22,VNQ,dividend,1.164000,2026-09-05T01:17:07Z
