date,symbol,kind,value,fetched_at
2017-02-01,BIL,dividend,0.026000,2026-09-05T01:17:07Z
2017-02-01,IEF,dividend,0.159000,2026-09-05T01:17:07Z
2017-02-01,TLT,dividend,0.259000,2026-09-05T01:17:07Z
2017-03-01,BIL,dividend,0.024000,2026-09-05T01:17:07Z
2017-03-01,IEF,dividend,0.145000,2026-09-05T01:17:07Z
2017-03-01,TLT,dividend,0.234000,2026-09-05T01:17:07Z
2017-03-17,SPY,dividend,1.033000,2026-09-05T01:17:07Z
2017-03-22,VNQ,dividend,0.595000,2026-09-05T01:17:07Z
2017-03-22,VWO,dividend,0.071000,2026-09-05T01:17:07Z
2017-03-24,IWM,dividend,0.387000,2026-09-05T01:17:07Z
2017-03-24,VEA,dividend,0.150000,2026-09-05T01:17:07Z
2017-04-03,BIL,dividend,0.028000,2026-09-05T01:17:07Z
2017-04-03,IEF,dividend,0.159000,2026-09-05T01:17:07Z
2017-04-03,TIP,dividend,0.155000,2026-09-05T01:17:07Z
2017-04-03,TLT,dividend,0.255000,2026-09-05T01:17:07Z
2017-05-01,BIL,dividend,0.034000,2026-09-05T01:17:07Z
2017-05-01,IEF,dividend,0.160000,2026-09-05T01:17:07Z
2017-05-01,TIP,dividend,0.284000,2026-09-05T01:17:07Z
2017-05-01,TLT,dividend,0.255000,2026-09-05T01:17:07Z
2017-06-01,BIL,dividend,0.054000,2026-09-05T01:17:07Z
2017-06-01,IEF,dividend,0.164000,2026-09-05T01:17:07Z
2017-06-01,TIP,dividend,0.258000,2026-09-05T01:17:07Z
2017-06-01,TLT,dividend,0.263000,2026-09-05T01:17:07Z
2017-06-16,SPY,dividend,1.183000,2026-09-05T01:17:07Z
2017-06-21,VEA,dividend,0.482000,2026-09-05T01:17:07Z
2017-06-21,VWO,dividend,0.253000,2026-09-05T01:17:07Z
2017-06-23,VNQ,dividend,0.801000,2026-09-05T01:17:07Z
2017-07-03,BIL,dividend,0.050000,2026-09-05T01:17:07Z
2017-07-03,IEF,dividend,0.159000,2026-09-05T01:17:07Z
2017-07-03,TIP,dividend,0.292000,2026-09-05T01:17:07Z
2017-07-03,TLT,dividend,0.258000,2026-09-05T01:17:07Z
2017-07-06,IWM,dividend,0.609000,2026-09-05T01:17:07Z
2017-08-01,BIL,dividend,0.064000,2026-09-05T01:17:07Z
2017-08-01,IEF,dividend,0.165000,2026-09-05T01:17:07Z
2017-08-01,TIP,dividend,0.217000,2026-09-05T01:17:07Z
2017-08-01,TLT,dividend,0.269000,2026-09-05T01:17:07Z
2017-09-01,BIL,dividend,0.066000,2026-09-05T01:17:07Z
2017-09-01,IEF,dividend,0.162000,2026-09-05T01:17:07Z
2017-09-01,TIP,dividend,0.237000,2026-09-05T01:17:07Z
2017-09-01,TLT,dividend,0.263000,2026-09-05T01:17:07Z
2017-09-15,SPY,dividend,1.235000,2026-09-05T01:17:07Z
2017-09-20,VEA,dividend,0.179000,2026-09-05T01:17:07Z
2017-09-20,VWO,dividend,0.522000,2026-09-05T01:17:07Z
2017-09-22,VNQ,dividend,0.854000,2026-09-05T01:17:07Z
2017-09-26,IWM,dividend,0.349000,2026-09-05T01:17:07Z
2017-10-02,BIL,dividend,0.064000,2026-09-05T01:17:07Z
2017-10-02,IEF,dividend,0.159000,2026-09-05T01:17:07Z
2017-10-02,TIP,dividend,0.048000,2026-09-05T01:17:07Z
2017-10-02,TLT,dividend,0.252000,2026-09-05T01:17:07Z
2017-11-01,BIL,dividend,0.070000,2026-09-05T01:17:07Z
2017-11-01,IEF,dividend,0.164000,2026-09-05T01:17:07Z
2017-11-01,TIP,dividend,0.218000,2026-09-05T01:17:07Z
2017-11-01,TLT,dividend,0.263000,2026-09-05T01:17:07Z
2017-11-30,BIL,split,0.500000,2026-09-05T01:17:07Z
2017-12-01,BIL,dividend,0.066000,2026-09-05T01:17:07Z
2017-12-01,IEF,dividend,0.160000,2026-09-05T01:17:07Z
2017-12-01,TIP,dividend,0.501000,2026-09-05T01:17:07Z
2017-12-01,TLT,dividend,0.255000,2026-09-05T01:17:07Z
2017-12-15,SPY,dividend,1.351000,2026-09-05T01:17:07Z
2017-12-19,BIL,dividend,0.082000,2026-09-05T01:17:07Z
2017-12-21,IEF,dividend,0.164000,2026-09-05T01:17:07Z
2017-12-21,IWM,dividend,0.579000,2026-09-05T01:17:07Z
2017-12-21,TIP,dividend,0.156000,2026-09-05T01:17:07Z
2017-12-21,TLT,dividend,0.262000,2026-09-05T01:17:07Z
2017-12-21,VEA,dividend,0.432000,2026-09-05T01:17:07Z
2017-12-21,VNQ,dividend,1.264000,2026-09-05T01:17:07Z
2017-12-21,VWO,dividend,0.212000,2026-09-05T01:17:07Z
