date,symbol,kind,value,fetched_at
2013-02-01,IEF,dividend,0.140000,2026-09-05T01:17:07Z
2013-02-01,TLT,dividend,0.260000,2026-09-05T01:17:07Z
2013-03-01,IEF,dividend,0.127000,2026-09-05T01:17:07Z
2013-03-01,TLT,dividend,0.254000,2026-09-05T01:17:07Z
2013-03-15,SPY,dividend,0.694000,2026-09-05T01:17:07Z
2013-03-22,VEA,dividend,0.161000,2026-09-05T01:17:07Z
2013-03-22,VNQ,dividend,0.534000,2026-09-05T01:17:07Z
2013-03-22,VWO,dividend,0.058000,2026-09-05T01:17:07Z
2013-03-25,IWM,dividend,0.264000,2026-09-05T01:17:07Z
2013-04-01,IEF,dividend,0.145000,2026-09-05T01:17:07Z
2013-04-01,TIP,dividend,0.080000,2026-09-05T01:17:07Z
2013-04-01,TLT,dividend,0.255000,2026-09-05T01:17:07Z
2013-05-01,IEF,dividend,0.135000,2026-09-05T01:17:07Z
2013-05-01,TIP,dividend,0.311000,2026-09-05T01:17:07Z
2013-05-01,TLT,dividend,0.261000,2026-09-05T01:17:07Z
2013-06-03,IEF,dividend,0.142000,2026-09-05T01:17:07Z
2013-06-03,TIP,dividend,0.293000,2026-09-05T01:17:07Z
2013-06-03,TLT,dividend,0.275000,2026-09-05T01:17:07Z
2013-06-21,SPY,dividend,0.839000,2026-09-05T01:17:07Z
2013-06-24,VEA,dividend,0.545000,2026-09-05T01:17:07Z
2013-06-24,VNQ,dividend,0.631000,2026-09-05T01:17:07Z
2013-06-24,VWO,dividend,0.506000,2026-09-05T01:17:07Z
2013-07-01,IEF,dividend,0.139000,2026-09-05T01:17:07Z
2013-07-01,TIP,dividend,0.149000,2026-09-05T01:17:07Z
2013-07-01,TLT,dividend,0.252000,2026-09-05T01:17:07Z
2013-07-02,IWM,dividend,0.430000,2026-09-05T01:17:07Z
2013-08-01,IEF,dividend,0.141000,2026-09-05T01:17:07Z
2013-08-01,TIP,dividend,0.070000,2026-09-05T01:17:07Z
2013-08-01,TLT,dividend,0.270000,2026-09-05T01:17:07Z
2013-09-03,IEF,dividend,0.151000,2026-09-05T01:17:07Z
2013-09-03,TIP,dividend,0.103000,2026-09-05T01:17:07Z
2013-09-03,TLT,dividend,0.279000,2026-09-05T01:17:07Z
2013-09-20,SPY,dividend,0.838000,2026-09-05T01:17:07Z
2013-09-23,VEA,dividend,0.164000,2026-09-05T01:17:07Z
2013-09-23,VNQ,dividend,0.618000,2026-09-05T01:17:07Z
2013-09-23,VWO,dividend,0.345000,2026-09-05T01:17:07Z
2013-09-24,IWM,dividend,0.283000,2026-09-05T01:17:07Z
2013-10-01,IEF,dividend,0.153000,2026-09-05T01:17:07Z
2013-10-01,TIP,dividend,0.047000,2026-09-05T01:17:07Z
2013-10-01,TLT,dividend,0.278000,2026-09-05T01:17:07Z
2013-11-01,IEF,dividend,0.161000,2026-09-05T01:17:07Z
2013-11-01,TIP,dividend,0.118000,2026-09-05T01:17:07Z
2013-11-01,TLT,dividend,0.288000,2026-09-05T01:17:07Z
2013-12-02,IEF,dividend,0.164000,2026-09-05T01:17:07Z
2013-12-02,TIP,dividend,0.090000,2026-09-05T01:17:07Z
2013-12-02,TLT,dividend,0.310000,2026-09-05T01:17:07Z
2013-12-20,SPY,dividend,0.980000,2026-09-05T01:17:07Z
2013-12-20,VEA,dividend,0.213000,2026-09-05T01:17:07Z
2013-12-20,VWO,dividend,0.216000,2026-09-05T01:17:07Z
2013-12-23,IWM,dividend,0.437000,2026-09-05T01:17:07Z
2013-12-24,VNQ,dividend,1.008000,2026-09-05T01:17:07Z
2013-12-26,IEF,dividend,0.164000,2026-09-05T01:17:07Z
2013-12-26,TLT,dividend,0.335000,2026-09-05T01:17:07Z
