date,symbol,close,volume,fetched_at
1999-01-04,SPY,123.031250,9450400,2026-09-05T01:17:07Z
1999-01-05,SPY,124.437500,8031000,2026-09-05T01:17:07Z
1999-01-06,SPY,127.437500,7737700,2026-09-05T01:17:07Z
1999-01-07,SPY,126.812500,5504900,2026-09-05T01:17:07Z
1999-01-08,SPY,127.750000,6224400,2026-09-05T01:17:07Z
1999-01-11,SPY,126.531250,7578300,2026-09-05T01:17:07Z
1999-01-12,SPY,124.250000,7768800,2026-09-05T01:17:07Z
1999-01-13,SPY,123.375000,10810600,2026-09-05T01:17:07Z
1999-01-14,SPY,121.218750,11400700,2026-09-05T01:17:07Z
1999-01-15,SPY,124.375000,7817700,2026-09-05T01:17:07Z
1999-01-19,SPY,125.187500,6535100,2026-09-05T01:17:07Z
1999-01-20,SPY,126.187500,6534400,2026-09-05T01:17:07Z
1999-01-21,SPY,122.843750,6937500,2026-09-05T01:17:07Z
1999-01-22,SPY,122.562500,7522300,2026-09-05T01:17:07Z
1999-01-25,SPY,123.812500,5700300,2026-09-05T01:17:07Z
1999-01-26,SPY,126.062500,6047000,2026-09-05T01:17:07Z
1999-01-27,SPY,124.593750,7399400,2026-09-05T01:17:07Z
1999-01-28,SPY,126.687500,5961700,2026-09-05T01:17:07Z
1999-01-29,SPY,127.656250,6456800,2026-09-05T01:17:07Z
1999-02-01,SPY,126.906250,9426800,2026-09-05T01:17:07Z
1999-02-02,SPY,126.125000,9194500,2026-09-05T01:17:07Z
1999-02-03,SPY,127.406250,10290700,2026-09-05T01:17:07Z
1999-02-04,SPY,125.500000,7761100,2026-09-05T01:17:07Z
1999-02-05,SPY,124.062500,7516100,2026-09-05T01:17:07Z
1999-02-08,SPY,124.312500,8528400,2026-09-05T01:17:07Z
1999-02-09,SPY,121.531250,8985700,2026-09-05T01:17:07Z
1999-02-10,SPY,122.312500,6936700,2026-09-05T01:17:07Z
1999-02-11,SPY,125.125000,9181800,2026-09-05T01:17:07Z
1999-02-12,SPY,123.625000,10676600,2026-09-05T01:17:07Z
1999-02-16,SPY,122.875000,6915500,2026-09-05T01:17:07Z
1999-02-17,SPY,122.750000,7858100,2026-09-05T01:17:07Z
1999-02-18,SPY,123.718750,9048900,2026-09-05T01:17:07Z
1999-02-19,SPY,124.250000,5312200,2026-09-05T01:17:07Z
1999-02-22,SPY,127.562500,10695800,2026-09-05T01:17:07Z
1999-02-23,SPY,127.500000,7770700,2026-09-05T01:17:07Z
1999-02-24,SPY,125.250000,7271000,2026-09-05T01:17:07Z
1999-02-25,SPY,124.062500,11633000,2026-09-05T01:17:07Z
1999-02-26,SPY,123.562500,9621300,2026-09-05T01:17:07Z
1999-03-01,SPY,123.906250,7607200,2026-09-05T01:17:07Z
1999-03-02,SPY,122.812500,9651500,2026-09-05T01:17:07Z
1999-03-03,SPY,123.468750,7881400,2026-09-05T01:17:07Z
1999-03-04,SPY,125.031250,8256400,2026-09-05T01:17:07Z
1999-03-05,SPY,127.546875,10703100,2026-09-05T01:17:07Z
1999-03-08,SPY,128.375000,4802200,2026-09-05T01:17:07Z
1999-03-09,SPY,128.062500,7893400,2026-09-05T01:17:07Z
1999-03-10,SPY,129.187500,3950000,2026-09-05T01:17:07Z
1999-03-11,SPY,130.625000,6583700,2026-09-05T01:17:07Z
1999-03-12,SPY,129.375000,5286500,2026-09-05T01:17:07Z
1999-03-15,SPY,131.218750,5394400,2026-09-05T01:17:07Z
1999-03-16,SPY,130.718750,4547500,2026-09-05T01:17:07Z
1999-03-17,SPY,130.156250,4524100,2026-09-05T01:17:07Z
1999-03-18,SPY,132.250000,3506300,2026-09-05T01:17:07Z
1999-03-19,SPY,129.687500,5526700,2026-09-05T01:17:07Z
1999-03-22,SPY,129.937500,4603800,2026-09-05T01:17:07Z
1999-03-23,SPY,126.187500,9713800,2026-09-05T01:17:07Z
1999-03-24,SPY,126.906250,6280900,2026-09-05T01:17:07Z
1999-03-25,SPY,129.500000,6639600,2026-09-05T01:17:07Z
1999-03-26,SPY,128.562500,6159700,2026-09-05T01:17:07Z
1999-03-29,SPY,131.156250,5863900,2026-09-05T01:17:07Z
1999-03-30,SPY,130.468750,5401400,2026-09-05T01:17:07Z
1999-03-31,SPY,128.375000,7413600,2026-09-05T01:17:07Z
1999-04-01,SPY,129.343750,7683600,2026-09-05T01:17:07Z
1999-04-05,SPY,132.406250,5791100,2026-09-05T01:17:07Z
1999-04-06,SPY,132.093750,5381300,2026-09-05T01:17:07Z
1999-04-07,SPY,133.156250,6248600,2026-09-05T01:17:07Z
1999-04-08,SPY,134.843750,5909100,2026-09-05T01:17:07Z
1999-04-09,SPY,134.875000,4365800,2026-09-05T01:17:07Z
1999-04-12,SPY,136.312500,8213200,2026-09-05T01:17:07Z
1999-04-13,SPY,135.437500,10071400,2026-09-05T01:17:07Z
1999-04-14,SPY,133.156250,11551700,2026-09-05T01:17:07Z
1999-04-15,SPY,132.656250,11150000,2026-09-05T01:17:07Z
1999-04-16,SPY,131.531250,6476200,2026-09-05T01:17:07Z
1999-04-19,SPY,129.500000,12487200,2026-09-05T01:17:07Z
1999-04-20,SPY,131.125000,9049600,2026-09-05T01:17:07Z
1999-04-21,SPY,134.875000,5772200,2026-09-05T01:17:07Z
1999-04-22,SPY,136.156250,6897400,2026-09-05T01:17:07Z
1999-04-23,SPY,135.812500,4593100,2026-09-05T01:17:07Z
1999-04-26,SPY,136.593750,3606500,2026-09-05T01:17:07Z
1999-04-27,SPY,137.250000,5147200,2026-09-05T01:17:07Z
1999-04-28,SPY,135.375000,5544300,2026-09-05T01:17:07Z
1999-04-29,SPY,134.343750,9824300,2026-09-05T01:17:07Z
1999-04-30,SPY,133.250000,10991900,2026-09-05T01:17:07Z
1999-05-03,SPY,135.687500,10709700,2026-09-05T01:17:07Z
1999-05-04,SPY,133.750000,10509300,2026-09-05T01:17:07Z
1999-05-05,SPY,134.812500,10032300,2026-09-05T01:17:07Z
1999-05-06,SPY,133.984375,13507200,2026-09-05T01:17:07Z
1999-05-07,SPY,135.000000,8680700,2026-09-05T01:17:07Z
1999-05-10,SPY,134.328125,5580100,2026-09-05T01:17:07Z
1999-05-11,SPY,135.687500,7000600,2026-09-05T01:17:07Z
1999-05-12,SPY,136.750000,13865800,2026-09-05T01:17:07Z
1999-05-13,SPY,137.343750,4485700,2026-09-05T01:17:07Z
