date,symbol,close,volume,fetched_at
1998-01-02,SPY,97.562500,2360900,2026-09-05T01:14:12Z
1998-01-05,SPY,97.781250,4191800,2026-09-05T01:14:12Z
1998-01-06,SPY,96.218750,3154900,2026-09-05T01:14:12Z
1998-01-07,SPY,96.468750,4424200,2026-09-05T01:14:12Z
1998-01-08,SPY,95.625000,3831000,2026-09-05T01:14:12Z
1998-01-09,SPY,92.312500,10258800,2026-09-05T01:14:12Z
1998-01-12,SPY,94.000000,12097900,2026-09-05T01:14:12Z
1998-01-13,SPY,95.312500,5224900,2026-09-05T01:14:12Z
1998-01-14,SPY,95.750000,3770400,2026-09-05T01:14:12Z
1998-01-15,SPY,94.953125,2875400,2026-09-05T01:14:12Z
1998-01-16,SPY,96.312500,4374800,2026-09-05T01:14:12Z
1998-01-20,SPY,97.875000,5091700,2026-09-05T01:14:12Z
1998-01-21,SPY,96.937500,4699400,2026-09-05T01:14:12Z
1998-01-22,SPY,96.078125,4543400,2026-09-05T01:14:12Z
1998-01-23,SPY,95.937500,6350300,2026-09-05T01:14:12Z
1998-01-26,SPY,95.875000,4362900,2026-09-05T01:14:12Z
1998-01-27,SPY,96.843750,7044200,2026-09-05T01:14:12Z
1998-01-28,SPY,97.718750,4268600,2026-09-05T01:14:12Z
1998-01-29,SPY,98.250000,8007700,2026-09-05T01:14:12Z
1998-01-30,SPY,98.312500,3649100,2026-09-05T01:14:12Z
1998-02-02,SPY,99.937500,5756300,2026-09-05T01:14:12Z
1998-02-03,SPY,100.687500,2759600,2026-09-05T01:14:12Z
1998-02-04,SPY,100.562500,3374000,2026-09-05T01:14:12Z
1998-02-05,SPY,100.500000,5076200,2026-09-05T01:14:12Z
1998-02-06,SPY,101.625000,5701200,2026-09-05T01:14:12Z
1998-02-09,SPY,101.281250,2322200,2026-09-05T01:14:12Z
1998-02-10,SPY,102.250000,3660400,2026-09-05T01:14:12Z
1998-02-11,SPY,102.156250,4073200,2026-09-05T01:14:12Z
1998-02-12,SPY,102.593750,5024700,2026-09-05T01:14:12Z
1998-02-13,SPY,102.000000,2101300,2026-09-05T01:14:12Z
1998-02-17,SPY,102.500000,3055500,2026-09-05T01:14:12Z
1998-02-18,SPY,103.437500,3007400,2026-09-05T01:14:12Z
1998-02-19,SPY,102.890625,3387800,2026-09-05T01:14:12Z
1998-02-20,SPY,103.656250,3707000,2026-09-05T01:14:12Z
1998-02-23,SPY,104.062500,3227800,2026-09-05T01:14:12Z
1998-02-24,SPY,103.250000,3386800,2026-09-05T01:14:12Z
1998-02-25,SPY,104.531250,3481800,2026-09-05T01:14:12Z
1998-02-26,SPY,105.125000,3187600,2026-09-05T01:14:12Z
1998-02-27,SPY,105.125000,3442900,2026-09-05T01:14:12Z
1998-03-02,SPY,104.906250,4252300,2026-09-05T01:14:12Z
1998-03-03,SPY,105.500000,3349200,2026-09-05T01:14:12Z
1998-03-04,SPY,104.812500,4404100,2026-09-05T01:14:12Z
1998-03-05,SPY,103.843750,7268000,2026-09-05T01:14:12Z
1998-03-06,SPY,105.937500,6896300,2026-09-05T01:14:12Z
1998-03-09,SPY,105.562500,3362800,2026-09-05T01:14:12Z
1998-03-10,SPY,106.562500,5481900,2026-09-05T01:14:12Z
1998-03-11,SPY,107.062500,3439600,2026-09-05T01:14:12Z
1998-03-12,SPY,107.500000,3191300,2026-09-05T01:14:12Z
1998-03-13,SPY,107.093750,2879400,2026-09-05T01:14:12Z
