date,symbol,close,volume,fetched_at
2000-01-03,SPY,145.437500,8164300,2026-09-05T01:17:07Z
2000-01-04,SPY,139.750000,8089800,2026-09-05T01:17:07Z
2000-01-05,SPY,140.000000,12177900,2026-09-05T01:17:07Z
2000-01-06,SPY,137.750000,6227200,2026-09-05T01:17:07Z
2000-01-07,SPY,145.750000,8066500,2026-09-05T01:17:07Z
2000-01-10,SPY,146.250000,5741700,2026-09-05T01:17:07Z
2000-01-11,SPY,144.500000,7503700,2026-09-05T01:17:07Z
2000-01-12,SPY,143.062500,6907700,2026-09-05T01:17:07Z
2000-01-13,SPY,145.000000,5158300,2026-09-05T01:17:07Z
2000-01-14,SPY,146.968750,7437300,2026-09-05T01:17:07Z
2000-01-18,SPY,145.812500,6488500,2026-09-05T01:17:07Z
2000-01-19,SPY,147.000000,6157900,2026-09-05T01:17:07Z
2000-01-20,SPY,144.750000,5800100,2026-09-05T01:17:07Z
2000-01-21,SPY,144.437500,6244800,2026-09-05T01:17:07Z
2000-01-24,SPY,140.343750,7896900,2026-09-05T01:17:07Z
2000-01-25,SPY,141.937500,9942500,2026-09-05T01:17:07Z
2000-01-26,SPY,140.812500,5158100,2026-09-05T01:17:07Z
2000-01-27,SPY,140.250000,10922700,2026-09-05T01:17:07Z
2000-01-28,SPY,135.875000,11916200,2026-09-05T01:17:07Z
2000-01-31,SPY,139.562500,10768700,2026-09-05T01:17:07Z
2000-02-01,SPY,140.937500,8419900,2026-09-05T01:17:07Z
2000-02-02,SPY,141.062500,6205900,2026-09-05T01:17:07Z
2000-02-03,SPY,143.187500,7997500,2026-09-05T01:17:07Z
2000-02-04,SPY,142.593750,4925400,2026-09-05T01:17:07Z
2000-02-07,SPY,142.375000,5845800,2026-09-05T01:17:07Z
2000-02-08,SPY,144.312500,4936400,2026-09-05T01:17:07Z
2000-02-09,SPY,141.281250,8511500,2026-09-05T01:17:07Z
2000-02-10,SPY,141.562500,6690600,2026-09-05T01:17:07Z
2000-02-11,SPY,138.687500,9849800,2026-09-05T01:17:07Z
2000-02-14,SPY,139.500000,8528800,2026-09-05T01:17:07Z
2000-02-15,SPY,141.078125,11078300,2026-09-05T01:17:07Z
2000-02-16,SPY,139.000000,8845400,2026-09-05T01:17:07Z
2000-02-17,SPY,138.281250,7584200,2026-09-05T01:17:07Z
2000-02-18,SPY,135.312500,9409200,2026-09-05T01:17:07Z
2000-02-22,SPY,134.968750,16415400,2026-09-05T01:17:07Z
2000-02-23,SPY,136.562500,12119000,2026-09-05T01:17:07Z
2000-02-24,SPY,133.812500,17375000,2026-09-05T01:17:07Z
2000-02-25,SPY,133.328125,10559900,2026-09-05T01:17:07Z
2000-02-28,SPY,136.125000,13397800,2026-09-05T01:17:07Z
2000-02-29,SPY,137.437500,8242500,2026-09-05T01:17:07Z
2000-03-01,SPY,138.437500,6868000,2026-09-05T01:17:07Z
2000-03-02,SPY,138.531250,7600200,2026-09-05T01:17:07Z
2000-03-03,SPY,141.125000,12770300,2026-09-05T01:17:07Z
2000-03-06,SPY,139.750000,11967100,2026-09-05T01:17:07Z
2000-03-07,SPY,137.046875,20062000,2026-09-05T01:17:07Z
2000-03-08,SPY,136.875000,11808500,2026-09-05T01:17:07Z
2000-03-09,SPY,140.875000,5500900,2026-09-05T01:17:07Z
2000-03-10,SPY,140.125000,7924600,2026-09-05T01:17:07Z
2000-03-13,SPY,138.593750,10540500,2026-09-05T01:17:07Z
2000-03-14,SPY,136.625000,8263900,2026-09-05T01:17:07Z
2000-03-15,SPY,139.812500,10300800,2026-09-05T01:17:07Z
2000-03-16,SPY,146.343750,25601400,2026-09-05T01:17:07Z
2000-03-17,SPY,146.937500,10272900,2026-09-05T01:17:07Z
2000-03-20,SPY,146.187500,12502300,2026-09-05T01:17:07Z
2000-03-21,SPY,149.187500,13612600,2026-09-05T01:17:07Z
2000-03-22,SPY,150.093750,8260000,2026-09-05T01:17:07Z
2000-03-23,SPY,152.656250,11654500,2026-09-05T01:17:07Z
2000-03-24,SPY,153.562500,11462900,2026-09-05T01:17:07Z
2000-03-27,SPY,151.937500,8798600,2026-09-05T01:17:07Z
2000-03-28,SPY,151.062500,6334400,2026-09-05T01:17:07Z
2000-03-29,SPY,151.218750,6747500,2026-09-05T01:17:07Z
2000-03-30,SPY,148.687500,9491900,2026-09-05T01:17:07Z
2000-03-31,SPY,150.375000,9249100,2026-09-05T01:17:07Z
2000-04-03,SPY,151.250000,8508200,2026-09-05T01:17:07Z
2000-04-04,SPY,150.125000,19585500,2026-09-05T01:17:07Z
2000-04-05,SPY,149.187500,8387200,2026-09-05T01:17:07Z
2000-04-06,SPY,150.484375,6378500,2026-09-05T01:17:07Z
2000-04-07,SPY,151.437500,6023600,2026-09-05T01:17:07Z
2000-04-10,SPY,150.843750,9624200,2026-09-05T01:17:07Z
2000-04-11,SPY,150.406250,9006400,2026-09-05T01:17:07Z
2000-04-12,SPY,146.281250,10779200,2026-09-05T01:17:07Z
2000-04-13,SPY,144.250000,12225800,2026-09-05T01:17:07Z
2000-04-14,SPY,136.000000,29604000,2026-09-05T01:17:07Z
2000-04-17,SPY,140.750000,23918200,2026-09-05T01:17:07Z
2000-04-18,SPY,144.468750,11069200,2026-09-05T01:17:07Z
2000-04-19,SPY,143.125000,6553700,2026-09-05T01:17:07Z
2000-04-20,SPY,143.812500,8537600,2026-09-05T01:17:07Z
2000-04-24,SPY,142.250000,12893100,2026-09-05T01:17:07Z
2000-04-25,SPY,148.156250,14102000,2026-09-05T01:17:07Z
